strategy,final_asset,total_return_pct,cagr_pct,mdd_pct,sharpe,n_trades
Buy & Hold,3665792.7807115493,266.57927807115493,6.653421793274417,-54.536651301440905,0.27986917408516215,0
Risk-Off (18.52),729540.9083426967,-27.045909165730325,-1.5514806567228145,-53.455179241518614,-0.2842530845216609,156
Risk-Off (10.0),1000622.4665468402,0.062246654684015086,0.003085645960498873,-32.66613655282558,-0.22196147177083062,172
Buy-the-Dip,1080211.739485946,8.021173948594603,0.38332339544193683,-42.52072180646909,-0.16370935735638262,133
Lev2x Dip Buy,902220.90218513,-9.777909781486995,-0.5089194710443112,-71.15261902939953,-0.03133368672423153,133
Lev2x Contrarian,9934304.156807506,893.4304156807507,12.05829061981667,-72.60042798792826,0.4262070680753087,45
Hold+Lev2x Dip,3001283.899249998,200.1283899249998,5.600923924161827,-58.01407979173688,0.23476853187758565,0
Inv1x (30일),140360.46357120652,-85.96395364287935,-9.27743188292287,-93.24679930279947,-0.7012505567273155,77
Inv2x (30일),11624.712648582727,-98.83752873514172,-19.81924006212543,-99.70915606028579,-0.6087905174165187,77
Inv2x (60일),9879.370352866947,-99.01206296471331,-20.463445237147347,-99.75282356801533,-0.6040443686760387,45
Inv2x→Lev2x,366541.8576179592,-63.34581423820409,-4.854848971238235,-77.65132774283836,-0.0606626817186373,35
Lev2x DCA (4회분할),1549361.866959393,54.936186695939305,2.1948257687675055,-65.35455048903349,0.07498230776407186,47
Lev2x DCA (보수적),1050350.1409764425,5.0350140976442495,0.24388075387071773,-71.71432349788056,-0.040242764572756884,25
