property_id,optimal_window,be_present,be_total,be_rate,ctrl_present,ctrl_total,ctrl_rate,analysis_type,test_type,p_value,odds_ratio,effect_size,significant,be_freq_mean,ctrl_freq_mean,p_adjusted
Property_001,45,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.00012086642675271824,1.0627467105263158,,True,4765.929078014185,4484.5390070921985,0.002078377033943481
Property_013,21,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,4.388062833222468e-08,1.1323135745829065,,True,3256.921985815603,2876.3427895981085,1.4462323754495719e-06
Property_023,21,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.00010763038820356476,1.053237193176394,,True,17442.72340425532,16561.059101654846,0.0018919030459782161
Property_024,21,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,4.543635342902886e-10,1.1940830837782423,,True,4101.432624113475,3434.7966903073284,2.76462735095091e-08
Property_030,45,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.0034798227729646194,1.040865441055622,,True,3772.8936170212764,3624.7659574468084,0.045123603498606786
Property_049,21,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,2.016139617245787e-08,1.069046339889005,,True,20543.08510638298,19216.271867612293,7.248938351097353e-07
Property_055,21,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,2.6959422290281306e-11,1.1521710807665915,,True,5477.524822695035,4754.089834515366,3.554150505268752e-09
Property_068,21,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.001327055608331583,1.0342152745555548,,True,14337.751773049646,13863.411347517731,0.01874466046768361
Property_070,21,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,6.705327236598012e-11,1.1426276878621602,,True,8435.801418439716,7382.808510638298,7.577019777355754e-09
Property_078,21,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,4.258827206901552e-13,1.1638421049666592,,True,5860.822695035461,5035.7541371158395,3.3687323206591275e-10
Property_110,14,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,2.1839976526790517e-05,1.2124806439681277,,True,914.4397163120567,754.1891252955082,0.0004429595239151615
Property_113,21,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,7.511175596646491e-07,1.097901963465436,,True,9585.787234042553,8731.004728132388,1.8566687177960546e-05
