lag,f_statistic,p_value,significant,cause_diffed,effect_diffed,risk_metric,social_indicator
1,1.3235,0.25119198349519745,False,False,False,risk_mean,suicide
2,4.7558,0.009506007924028836,True,False,False,risk_mean,suicide
3,5.4413,0.001260951717778938,True,False,False,risk_mean,suicide
4,5.1081,0.0005974921719016027,True,False,False,risk_mean,suicide
5,3.6195,0.003665424373805323,True,False,False,risk_mean,suicide
6,4.1944,0.0005262467190778436,True,False,False,risk_mean,suicide
1,1.7096,0.19238675623969068,False,False,False,risk_max,suicide
2,4.5395,0.01169847521049727,True,False,False,risk_max,suicide
3,4.4224,0.004842152185254633,True,False,False,risk_max,suicide
4,3.9441,0.004131336865029874,True,False,False,risk_max,suicide
5,3.1006,0.01008666507213423,True,False,False,risk_max,suicide
6,3.7821,0.0013480195429569882,True,False,False,risk_max,suicide
1,4.2663,0.040031277159625824,True,False,False,warning_days,suicide
2,5.989,0.002933182293052629,True,False,False,warning_days,suicide
3,5.7547,0.0008341740715304109,True,False,False,warning_days,suicide
4,5.1055,0.0006000972107849267,True,False,False,warning_days,suicide
5,3.7373,0.002908094383325702,True,False,False,warning_days,suicide
6,3.5935,0.0020677618496712097,True,False,False,warning_days,suicide
1,1.5297,0.21746146022716267,False,False,False,risk_mean,mental_disorder
2,0.9555,0.3862092136543457,False,False,False,risk_mean,mental_disorder
3,1.2114,0.3064664664262972,False,False,False,risk_mean,mental_disorder
4,2.9329,0.021719046830535983,True,False,False,risk_mean,mental_disorder
5,2.6348,0.024637173721943545,True,False,False,risk_mean,mental_disorder
6,2.2691,0.03832019017281803,True,False,False,risk_mean,mental_disorder
1,1.5383,0.2161752940465583,False,False,False,risk_max,mental_disorder
2,0.9396,0.3923442302086541,False,False,False,risk_max,mental_disorder
3,0.8644,0.46035124870130695,False,False,False,risk_max,mental_disorder
4,1.8196,0.12614822103652573,False,False,False,risk_max,mental_disorder
5,1.4406,0.2109327915925119,False,False,False,risk_max,mental_disorder
6,1.4855,0.18449621377960207,False,False,False,risk_max,mental_disorder
1,4.2528,0.04034485183834353,True,False,False,warning_days,mental_disorder
2,2.3844,0.09452001756897523,False,False,False,warning_days,mental_disorder
3,1.8717,0.13531106651799815,False,False,False,warning_days,mental_disorder
4,4.7662,0.0010554080901198038,True,False,False,warning_days,mental_disorder
5,4.6021,0.000525020672761039,True,False,False,warning_days,mental_disorder
6,3.9927,0.0008342860211381821,True,False,False,warning_days,mental_disorder
1,2.3786,0.12442896119228852,False,False,False,risk_mean,substance_disorder
2,0.9656,0.38236338405057274,False,False,False,risk_mean,substance_disorder
3,1.2095,0.3071661089712277,False,False,False,risk_mean,substance_disorder
4,0.8943,0.468218699139922,False,False,False,risk_mean,substance_disorder
5,0.9715,0.436150036757848,False,False,False,risk_mean,substance_disorder
6,1.3824,0.22304818591539183,False,False,False,risk_mean,substance_disorder
1,3.558,0.06056011669115361,False,False,False,risk_max,substance_disorder
2,0.8191,0.44214784921165534,False,False,False,risk_max,substance_disorder
3,0.9932,0.39689904908337603,False,False,False,risk_max,substance_disorder
4,0.7846,0.5362690700545154,False,False,False,risk_max,substance_disorder
5,0.6493,0.6623521919565266,False,False,False,risk_max,substance_disorder
6,1.3328,0.24389271634152998,False,False,False,risk_max,substance_disorder
1,2.8832,0.09090169396590168,False,False,False,warning_days,substance_disorder
2,1.1997,0.30324537572774735,False,False,False,warning_days,substance_disorder
3,1.3809,0.24952370089104633,False,False,False,warning_days,substance_disorder
4,1.0327,0.3912374326139586,False,False,False,warning_days,substance_disorder
5,1.2065,0.3072021273065046,False,False,False,warning_days,substance_disorder
6,1.0869,0.37131827360001546,False,False,False,warning_days,substance_disorder
1,1.2467,0.2653253969447782,False,False,False,risk_mean,unemployment
2,0.3086,0.7347657056920223,False,False,False,risk_mean,unemployment
3,0.2405,0.8680241163358083,False,False,False,risk_mean,unemployment
4,0.7593,0.5527565836761783,False,False,False,risk_mean,unemployment
5,0.8828,0.49332837348777814,False,False,False,risk_mean,unemployment
6,0.6998,0.6500452460412146,False,False,False,risk_mean,unemployment
1,0.277,0.5991826797801212,False,False,False,risk_max,unemployment
2,0.0764,0.9264701122123774,False,False,False,risk_max,unemployment
3,0.1137,0.9520501727197039,False,False,False,risk_max,unemployment
4,0.3036,0.8753961736207988,False,False,False,risk_max,unemployment
5,0.3573,0.877231618897218,False,False,False,risk_max,unemployment
6,0.2608,0.954477406153461,False,False,False,risk_max,unemployment
1,0.9683,0.32610899383702924,False,False,False,warning_days,unemployment
2,1.0383,0.3556970767833753,False,False,False,warning_days,unemployment
3,0.7021,0.5516747192994417,False,False,False,warning_days,unemployment
4,1.0555,0.3794183640291508,False,False,False,warning_days,unemployment
5,1.1322,0.3441279773796393,False,False,False,warning_days,unemployment
6,1.0413,0.3993589299030058,False,False,False,warning_days,unemployment
