control_id,date
1,2012-10-15
2,2012-10-16
3,2012-10-18
4,2012-10-23
5,2012-10-26
6,2012-10-29
7,2012-10-30
8,2012-11-02
9,2012-11-05
10,2012-11-07
11,2012-11-08
12,2012-11-09
13,2012-11-13
14,2012-11-15
15,2012-11-19
16,2012-11-21
17,2012-11-22
18,2012-11-23
19,2012-11-26
20,2012-11-28
21,2012-11-29
22,2012-11-30
23,2012-12-04
24,2012-12-05
25,2012-12-06
26,2012-12-07
27,2012-12-10
28,2012-12-11
29,2012-12-12
30,2012-12-13
31,2012-12-17
32,2012-12-18
33,2012-12-20
34,2012-12-26
35,2013-01-02
36,2013-01-03
37,2013-01-04
38,2013-01-07
39,2013-01-10
40,2013-01-14
41,2013-01-15
42,2013-01-18
43,2013-01-21
44,2013-01-24
45,2013-01-28
46,2013-01-29
47,2013-01-30
48,2013-02-01
49,2013-02-05
50,2013-02-07
51,2013-02-08
52,2013-02-12
53,2013-02-13
54,2013-02-14
55,2013-02-18
56,2013-02-19
57,2013-02-20
58,2013-02-21
59,2013-02-22
60,2013-02-25
61,2013-02-26
62,2013-02-28
63,2013-03-04
64,2013-03-05
65,2013-03-06
66,2013-03-08
67,2013-03-12
68,2013-03-13
69,2013-03-14
70,2013-03-18
71,2013-03-19
72,2013-03-21
73,2013-09-23
74,2013-09-25
75,2013-09-26
76,2013-10-01
77,2014-04-03
78,2014-04-07
79,2014-04-08
80,2014-04-10
81,2014-04-11
82,2014-04-14
83,2014-04-16
84,2014-04-18
85,2014-04-21
86,2014-04-22
87,2014-04-25
88,2014-04-28
89,2014-04-29
90,2014-04-30
91,2014-05-08
92,2014-05-09
93,2014-05-12
94,2014-05-14
95,2014-05-15
96,2014-05-19
97,2014-05-20
98,2014-05-21
99,2014-05-22
100,2014-05-26
101,2014-05-27
102,2014-05-28
103,2014-05-29
104,2014-05-30
105,2014-06-02
106,2014-06-03
107,2014-06-09
108,2014-06-10
109,2014-06-11
110,2014-06-12
111,2014-06-17
112,2014-06-18
113,2014-06-19
114,2014-06-23
115,2014-06-24
116,2014-06-26
117,2014-07-01
118,2014-07-02
119,2014-07-07
120,2014-07-08
121,2014-07-09
122,2014-07-10
123,2014-07-11
124,2014-07-14
125,2014-07-18
126,2014-07-21
127,2014-07-22
128,2014-07-23
129,2014-07-24
130,2014-07-25
131,2014-07-28
132,2014-07-30
133,2014-08-01
134,2014-08-04
135,2014-08-05
136,2014-08-06
137,2014-08-07
138,2014-08-08
139,2014-08-11
140,2014-08-12
141,2014-08-14
142,2014-08-18
143,2014-08-19
144,2014-08-21
145,2014-08-22
146,2014-08-25
147,2014-08-27
148,2014-08-28
149,2014-09-01
150,2014-09-03
151,2014-09-04
152,2014-09-05
153,2014-09-11
154,2014-09-12
155,2014-09-15
156,2014-09-16
157,2014-09-19
158,2014-09-22
159,2014-09-23
160,2014-09-26
161,2014-09-29
162,2014-10-01
163,2014-10-07
164,2014-10-08
165,2014-10-10
166,2014-10-14
167,2014-10-15
168,2014-10-17
169,2014-10-20
170,2014-10-21
171,2014-10-23
172,2014-10-24
173,2014-10-27
174,2014-10-28
175,2014-10-30
176,2014-10-31
177,2014-11-03
178,2014-11-06
179,2014-11-11
180,2014-11-12
181,2014-11-14
182,2014-11-17
183,2014-11-19
184,2014-11-21
185,2014-11-24
186,2014-11-25
187,2014-11-26
188,2014-11-28
189,2014-12-02
190,2014-12-03
191,2014-12-04
192,2014-12-05
193,2014-12-08
194,2014-12-09
195,2014-12-11
196,2014-12-12
197,2014-12-15
198,2014-12-17
199,2014-12-22
200,2014-12-23
201,2014-12-26
202,2014-12-29
203,2015-01-02
204,2015-01-06
205,2015-01-07
206,2015-01-08
207,2015-01-14
208,2015-01-19
209,2015-01-20
210,2015-01-21
211,2015-01-26
212,2015-01-28
213,2015-01-29
214,2015-01-30
215,2015-02-03
216,2015-02-04
217,2015-02-06
218,2015-02-10
219,2015-02-13
220,2015-02-16
221,2015-02-23
222,2015-02-24
223,2015-02-25
224,2015-02-26
225,2015-03-02
226,2015-03-04
227,2015-03-05
228,2015-03-09
229,2015-03-13
230,2015-03-17
231,2015-03-20
232,2015-03-23
233,2015-03-24
234,2015-03-25
235,2015-03-26
236,2015-03-30
237,2015-03-31
238,2015-04-01
239,2015-04-02
240,2017-02-09
241,2017-02-13
242,2017-02-14
243,2017-02-23
244,2017-02-27
245,2017-02-28
246,2017-03-03
247,2017-03-06
248,2017-03-07
249,2017-03-13
250,2017-03-16
251,2017-03-17
252,2017-03-20
253,2017-03-24
254,2017-03-27
255,2017-03-28
256,2017-03-29
257,2017-03-30
258,2017-04-03
259,2017-04-04
260,2017-04-05
261,2017-04-07
262,2017-04-10
263,2017-04-11
264,2017-04-12
265,2017-04-13
266,2017-04-14
267,2017-04-17
268,2017-04-18
269,2017-04-19
270,2017-04-20
271,2017-04-26
272,2017-05-04
273,2017-05-08
274,2017-05-10
275,2017-05-15
276,2017-05-16
277,2017-05-17
278,2017-05-18
279,2017-05-22
280,2017-05-23
281,2017-05-24
282,2017-05-26
283,2017-05-29
284,2017-05-30
285,2017-05-31
286,2017-06-01
287,2017-06-02
288,2017-06-05
289,2017-06-08
290,2017-06-09
291,2017-06-12
292,2017-06-14
293,2017-06-15
294,2017-06-16
295,2017-06-19
296,2017-06-20
297,2017-06-21
298,2017-06-22
299,2017-06-23
300,2017-06-26
301,2017-06-27
302,2017-06-28
303,2017-06-29
304,2017-07-05
305,2017-07-07
306,2017-07-10
307,2017-07-11
308,2017-07-12
309,2017-07-18
310,2017-07-19
311,2017-07-24
312,2017-07-26
313,2017-07-27
314,2017-07-28
315,2017-08-01
316,2017-08-02
317,2017-08-03
318,2017-08-04
319,2017-08-07
320,2017-08-09
321,2017-08-10
322,2017-08-11
323,2017-08-14
324,2017-08-16
325,2017-08-17
326,2017-08-18
327,2017-08-21
328,2017-08-23
329,2017-08-24
330,2017-09-01
331,2017-09-04
332,2017-09-05
333,2017-09-08
334,2017-09-11
335,2017-09-12
336,2017-09-13
337,2017-09-14
338,2017-09-15
339,2017-09-18
340,2017-09-20
341,2017-09-21
342,2017-09-26
343,2017-09-28
344,2017-10-11
345,2017-10-12
346,2017-10-16
347,2017-10-17
348,2017-10-18
349,2017-10-20
350,2017-10-24
351,2017-10-25
352,2017-10-27
353,2017-11-02
354,2017-11-03
355,2017-11-08
356,2019-01-23
357,2019-01-25
358,2019-01-29
359,2019-01-30
360,2019-01-31
361,2019-02-07
362,2021-05-26
363,2021-05-28
364,2021-06-01
365,2021-06-02
366,2021-06-03
367,2021-06-04
368,2021-06-07
369,2021-06-08
370,2021-06-09
371,2021-06-11
372,2021-06-15
373,2021-06-16
374,2021-06-24
375,2021-06-28
376,2021-06-30
377,2021-07-01
378,2021-07-02
379,2021-07-05
380,2021-07-06
381,2021-07-07
382,2021-07-12
383,2021-07-13
384,2021-07-14
385,2021-07-15
386,2021-07-16
387,2021-07-19
388,2021-07-22
389,2021-07-23
390,2021-07-27
391,2021-07-28
392,2021-07-29
393,2021-07-30
394,2021-08-02
395,2021-08-03
396,2021-08-04
397,2021-08-06
398,2021-08-09
399,2021-08-10
400,2021-08-13
401,2021-08-18
402,2021-08-19
403,2021-08-20
404,2021-08-23
405,2021-08-25
406,2021-08-26
407,2021-08-30
408,2021-08-31
409,2023-06-13
410,2023-06-14
411,2023-06-16
412,2023-06-19
413,2023-06-20
414,2023-06-21
415,2023-06-22
416,2023-06-23
417,2023-06-26
418,2023-06-27
419,2023-06-28
420,2023-06-29
421,2023-06-30
422,2023-07-03
423,2023-07-04
